item_number,total_650_to_800
096000-034-00922,0
096000-034-01122,0
096000-034-01422,0
098500-649-01500,0
0L0109-01050,0
0L0109-01250,0
0L0109-01550,0
0L0124-00001,60
0L0210-20295,4
0L0516-30400,0
0L0516-30650,0
0L0516-30700,0
0L0516-30750,0
0L0516-30800,0
0L0516-30850,0
0L0516-30900,4
0L0516-31500,0
0L0516-31800,0
0L0516-32000,0
0L0516-33000,0
0L0707-00001,0
0L1050-00001,36
0L1109-12998,29
0L2352-21112,0
0L3323-00100,529
0L3323-00300,354
0L3394-10514,0
0L3394-10518,0
0L3394-10522,0
0L3394-12524,0
0L3394-15520,0
0L3394-16522,0
0L3394-18520,0
0L3394-21520,0
0L3807-10954,0
0L4162-01000,0
0L4162-01200,4
0L4162-01500,0
0L4162-11000,0
0L4162-11200,0
0L4162-11500,4
0L4178-01030,3
0L4178-01045,0
0L4178-01090,0
0L4178-01135,0
0L4178-01150,3
0L4718-02250,0
0L4718-02700,0
0L4718-03000,0
0L6069-11000,2
0L6069-11001,0
0L6069-11010,0
0L6069-11011,2
0L6069-12000,0
0L6069-12001,0
